Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
CD9,NO2,06/11/2017 00:00,102.30000,ug m-3,R
CD9,NO2,07/11/2017 00:00,87.40000,ug m-3,R
CD9,NO2,08/11/2017 00:00,60.90000,ug m-3,R
CD9,NO2,09/11/2017 00:00,95.10000,ug m-3,R
CD9,NO2,10/11/2017 00:00,70.50000,ug m-3,R
CD9,NO2,11/11/2017 00:00,81.90000,ug m-3,R
CD9,NO2,12/11/2017 00:00,32.70000,ug m-3,R
CD9,NO2,13/11/2017 00:00,58.30000,ug m-3,R
CD9,NO2,14/11/2017 00:00,95.90000,ug m-3,R
CD9,NO2,15/11/2017 00:00,95.20000,ug m-3,R
CD9,NO2,16/11/2017 00:00,94.60000,ug m-3,R
CD9,NO2,17/11/2017 00:00,91.50000,ug m-3,R
CD9,NO2,18/11/2017 00:00,84.50000,ug m-3,R
CD9,NO2,19/11/2017 00:00,78.10000,ug m-3,R
CD9,NO2,20/11/2017 00:00,95.20000,ug m-3,R
CD9,NO2,21/11/2017 00:00,103.60000,ug m-3,R
CD9,NO2,22/11/2017 00:00,96.60000,ug m-3,R
CD9,NO2,23/11/2017 00:00,99.00000,ug m-3,R
CD9,NO2,24/11/2017 00:00,84.30000,ug m-3,R
CD9,NO2,25/11/2017 00:00,81.90000,ug m-3,R
CD9,NO2,26/11/2017 00:00,73.30000,ug m-3,R
CD9,NO2,27/11/2017 00:00,81.00000,ug m-3,R
CD9,NO2,28/11/2017 00:00,66.20000,ug m-3,R
CD9,NO2,29/11/2017 00:00,43.90000,ug m-3,R
CD9,NO2,30/11/2017 00:00,46.30000,ug m-3,R
CD9,NO2,01/12/2017 00:00,56.00000,ug m-3,R
CD9,NO2,02/12/2017 00:00,86.80000,ug m-3,R
CD9,NO2,03/12/2017 00:00,58.60000,ug m-3,R
CD9,NO2,04/12/2017 00:00,76.30000,ug m-3,R
CD9,NO2,05/12/2017 00:00,94.30000,ug m-3,R
CD9,NO2,06/12/2017 00:00,110.20000,ug m-3,R
CD9,NO2,07/12/2017 00:00,73.90000,ug m-3,R
CD9,NO2,08/12/2017 00:00,57.20000,ug m-3,R
CD9,NO2,09/12/2017 00:00,97.30000,ug m-3,R
CD9,NO2,10/12/2017 00:00,76.80000,ug m-3,R
CD9,NO2,11/12/2017 00:00,66.90000,ug m-3,R
CD9,NO2,12/12/2017 00:00,115.60000,ug m-3,R
CD9,NO2,13/12/2017 00:00,102.10000,ug m-3,R
CD9,NO2,14/12/2017 00:00,107.80000,ug m-3,R
CD9,NO2,15/12/2017 00:00,62.60000,ug m-3,R
CD9,NO2,16/12/2017 00:00,67.60000,ug m-3,R
CD9,NO2,17/12/2017 00:00,82.10000,ug m-3,R
CD9,NO2,18/12/2017 00:00,81.30000,ug m-3,R
CD9,NO2,19/12/2017 00:00,115.30000,ug m-3,R
CD9,NO2,20/12/2017 00:00,96.30000,ug m-3,R
CD9,NO2,21/12/2017 00:00,90.60000,ug m-3,R
CD9,NO2,22/12/2017 00:00,79.80000,ug m-3,R
CD9,NO2,23/12/2017 00:00,69.10000,ug m-3,R
CD9,NO2,24/12/2017 00:00,60.00000,ug m-3,R
CD9,NO2,25/12/2017 00:00,37.40000,ug m-3,R
CD9,NO2,26/12/2017 00:00,62.90000,ug m-3,R
CD9,NO2,27/12/2017 00:00,41.40000,ug m-3,R
CD9,NO2,28/12/2017 00:00,92.50000,ug m-3,R
CD9,NO2,29/12/2017 00:00,93.40000,ug m-3,R
CD9,NO2,30/12/2017 00:00,80.20000,ug m-3,R
CD9,NO2,31/12/2017 00:00,75.20000,ug m-3,R
